"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"221",0,3.49546705790377,0.754,0.083,0,"11","MT1A"
"222",0,3.24976301612795,0.98,0.386,0,"11","C11orf96"
"223",0,3.21582795544981,0.835,0.132,0,"11","RGS16"
"224",0,3.20887477521709,0.893,0.412,0,"11","GADD45B"
"225",0,3.1501023839106,0.72,0.222,0,"11","CCL2"
"226",0,3.03134687913362,0.913,0.251,0,"11","ADAMTS1"
"227",0,3.0101449898227,0.84,0.191,0,"11","MT1M"
"228",0,2.79507162265465,0.934,0.407,0,"11","CDKN1A"
"229",0,2.71728343303438,0.457,0.075,0,"11","IL6"
"230",0,2.59512913908371,0.962,0.229,0,"11","ACTA2"
"231",0,2.40879483757916,0.932,0.421,0,"11","NR4A1"
"232",0,2.39642883441901,0.786,0.125,0,"11","MUSTN1"
"233",0,2.36868907821605,0.58,0.045,0,"11","RERGL"
"234",0,2.33941922757609,0.866,0.144,0,"11","MYH11"
"235",0,2.30973740947232,0.799,0.098,0,"11","ADRA2A"
"236",0,2.28927433068235,0.901,0.314,0,"11","ATF3"
"237",0,2.2886155516022,0.986,0.341,0,"11","TPM2"
"238",0,2.28199678010445,0.916,0.296,0,"11","LBH"
"239",0,2.2793331718682,0.812,0.143,0,"11","NDUFA4L2"
"240",1.16422404075581e-290,2.34152662677576,0.937,0.604,3.02884526443031e-286,"11","CEBPD"
"241",0,2.23223046741149,0.866,0.216,0,"12","GEM"
"242",0,2.18357582236641,0.96,0.382,0,"12","EGR1"
"243",0,2.06955356151011,0.976,0.588,0,"12","JUN"
"244",0,2.04744238541117,0.988,0.357,0,"12","CXCL14"
"245",0,1.98155928997672,0.94,0.413,0,"12","FOSB"
"246",0,1.94853109481658,0.929,0.407,0,"12","IER3"
"247",0,1.89597513723018,0.992,0.403,0,"12","CFD"
"248",0,1.84175842406973,0.566,0.079,0,"12","TNFAIP6"
"249",0,1.82571976632378,0.988,0.399,0,"12","CCDC80"
"250",0,1.81491288444326,0.998,0.359,0,"12","DCN"
"251",0,1.81235330251446,0.999,0.761,0,"12","GSN"
"252",0,1.78880959286541,0.992,0.288,0,"12","FBLN1"
"253",0,1.7587729809373,0.884,0.198,0,"12","C3"
"254",0,1.70190471988278,0.98,0.391,0,"12","PLPP3"
"255",1.3441869868479e-297,1.77208549426946,0.996,0.567,3.49703686498349e-293,"12","MGP"
"256",1.38182550353869e-281,1.7404179662133,0.902,0.405,3.59495723000627e-277,"12","HSPA1B"
"257",2.51169555440594e-276,1.93139214385947,0.709,0.205,6.5344271543425e-272,"12","SFRP2"
"258",2.25660798723803e-274,1.87960569070788,0.966,0.561,5.87079133959846e-270,"12","HSPA1A"
"259",1.34169461604786e-269,2.12663288509007,0.917,0.475,3.49055271311012e-265,"12","APOD"
"260",2.51595031551233e-220,1.78131848086285,0.515,0.129,6.54549634083689e-216,"12","COMP"
"261",0,3.2001551031479,0.346,0.024,0,"13","FDCSP"
"262",0,2.54162325461225,0.698,0.195,0,"13","SERPINE2"
"263",0,2.35320091332513,0.712,0.154,0,"13","S100A1"
"264",0,2.25260482762703,0.752,0.15,0,"13","PMEL"
"265",0,2.06853311009986,0.774,0.199,0,"13","CCN3"
"266",0,2.02627927886975,0.659,0.114,0,"13","MLANA"
"267",0,1.92188101199205,0.615,0.118,0,"13","CAPN3"
"268",0,1.91189499369868,0.606,0.121,0,"13","MIA"
"269",0,1.89991419926434,0.597,0.106,0,"13","CCL18"
